rank,lemma,pos_kelly,pos_ud,english
4783,danmark,n,NOUN,Denmark
4784,utroskap,n,NOUN,unfaithfulness
4785,inkl.,adv,ADV,incl.
4786,intelligens,n,NOUN,intelligence
4787,begeistring,n,NOUN,enthusiasm
4788,akte,v,VERB,intent
4789,lat,adj,ADJ,lazy
4790,merknad,n,NOUN,comment
4791,tek,n,NOUN,knack
4792,lur,n,NOUN,nap
4793,komfortabel,adj,ADJ,comfortable
4794,underlag,n,NOUN,foundation
4795,begjær,n,NOUN,desire
4796,incest,n,NOUN,incest
4797,utvendig,adj,ADJ,external
4798,forlengelse,n,NOUN,extension
4799,telefonnummer,n,NOUN,phone number
4800,forsinkelse,n,NOUN,delay
4801,katolsk,adj,ADJ,Catholic
4802,sosialdemokratisk,adj,ADJ,social democratic
4803,kunstverk,n,NOUN,work of art
4804,statsvitenskap,n,NOUN,social science
4805,problematikk,n,NOUN,problem
4806,innledningsvis,adv,ADV,at the beginning
4807,brake,v,VERB,crash
4808,skolegang,n,NOUN,schooling
4809,varde,n,NOUN,marker
4810,velsignelse,n,NOUN,blessing
4811,byråd,n,NOUN,city council
4812,sær,adj,ADJ,strange
4813,dessert,n,NOUN,dessert
4814,maling,n,NOUN,painting
4815,igangsette,v,VERB,start up
4816,grunnlegge,v,VERB,establish
4817,innbille,v,VERB,convince
4818,bestand,n,NOUN,stock
4819,frekvens,n,NOUN,frequency
4820,forbrukerombud,n,NOUN,consumer ombudsman
4821,torturere,v,VERB,torture
4822,cruise,n,NOUN,cruise
4823,prosedyre,n,NOUN,procedure
4824,simpelthen,adv,ADV,simply
4825,bekjent,adj,ADJ,known
4826,kuk,n,NOUN,cock
4827,oppussing,n,NOUN,redecorating
4828,idiotisk,adj,ADJ,idiotic
4829,lojalitet,n,NOUN,loyalty
4830,frekk,adj,ADJ,impertinent
4831,skjerme,v,VERB,screen
4832,utskriftsvennlig,adj,ADJ,printer-friendly
4833,gro,v,VERB,grow
4834,fylkesting,v,VERB,county council
4835,presidentvalg,n,NOUN,presidential election
4836,selvstendighet,n,NOUN,independence
4837,miljøgift,n,NOUN,environmental poison
4838,poesi,n,NOUN,poetry
4839,snus,n,NOUN,snuff
4840,ørn,n,NOUN,eagle
4841,ovevisning,n,NOUN,
4842,pedagogikk,v,VERB,
4843,forgjenger,n,NOUN,predecessor
4844,profilert,v,VERB,
4845,kidnappe,v,VERB,kidnap
4846,formann,n,NOUN,chairman
